OperandA, OperandB, Result, Exception
          1,          0, 2147483647,1
          0,          1, 1073741823,0
          1,          2, 2147483647,0
          2,         -4, 1073741825,0
          2,          1,-1073741825,0
         -4,          2,-1073741823,0
          8,          4, 1073741823,0
         16,         -8,-1073741823,0
         32,         16, 1073741823,0
        -64,         32,-1073741823,0
        128,         64, 1073741823,0
        256,       -128,-1073741823,0
        512,        256, 1073741823,0
      -1024,        512,-1073741823,0
       2048,       1024, 1073741823,0
       4096,      -2048,-1073741823,0
       8192,       4096, 1073741823,0
     -16384,       8192,-1073741823,0
      32768,      16384, 1073741823,0
-2147483648,          2,-1073741823,0
